Nombre del jugador,Puntos,Rounds,Matrix_W,Matrix_X,Matrix_Y,Matrix_Z
TFTAgent2,1280,100,-10,10,0,5
NN_Agent2,4375,100,-10,10,0,5
RandomAgent1,2185,100,-10,10,0,5
DAgent2,3740,100,-10,10,0,5
HAgent1,1660,100,-10,10,0,5
RLAgent2,3350,100,-10,10,0,5
AlternatingAgent1,2810,100,-10,10,0,5
NN_Agent1,3985,100,-10,10,0,5
TFTAgent1,1175,100,-10,10,0,5
HAgent2,1820,100,-10,10,0,5
RandomAgent2,2365,100,-10,10,0,5
RLAgent1,3255,100,-10,10,0,5
DAgent1,3605,100,-10,10,0,5
AlternatingAgent2,2445,100,-10,10,0,5
TFTAgent2,4393,100,-1,10,0,5
NN_Agent2,4596,100,-1,10,0,5
DAgent2,4100,100,-1,10,0,5
RandomAgent1,4828,100,-1,10,0,5
HAgent1,6323,100,-1,10,0,5
RLAgent2,4858,100,-1,10,0,5
AlternatingAgent1,4602,100,-1,10,0,5
NN_Agent1,4306,100,-1,10,0,5
TFTAgent1,4309,100,-1,10,0,5
HAgent2,5696,100,-1,10,0,5
RandomAgent2,4664,100,-1,10,0,5
RLAgent1,4452,100,-1,10,0,5
DAgent1,3445,100,-1,10,0,5
AlternatingAgent2,4400,100,-1,10,0,5
TFTAgent2,5242,100,-2,10,1,7
NN_Agent2,6037,100,-2,10,1,7
RandomAgent1,5464,100,-2,10,1,7
DAgent2,5338,100,-2,10,1,7
HAgent1,6184,100,-2,10,1,7
RLAgent2,5800,100,-2,10,1,7
AlternatingAgent1,5728,100,-2,10,1,7
NN_Agent1,6127,100,-2,10,1,7
TFTAgent1,5017,100,-2,10,1,7
HAgent2,6196,100,-2,10,1,7
RandomAgent2,5191,100,-2,10,1,7
RLAgent1,5437,100,-2,10,1,7
DAgent1,5224,100,-2,10,1,7
AlternatingAgent2,5944,100,-2,10,1,7
TFTAgent2,6016,100,-2,7,2,9
NN_Agent2,6713,100,-2,7,2,9
RandomAgent1,5795,100,-2,7,2,9
DAgent2,8529,100,-2,7,2,9
HAgent1,4159,100,-2,7,2,9
RLAgent2,7121,100,-2,7,2,9
AlternatingAgent1,5401,100,-2,7,2,9
NN_Agent1,6114,100,-2,7,2,9
TFTAgent1,5963,100,-2,7,2,9
RandomAgent2,5790,100,-2,7,2,9
HAgent2,3718,100,-2,7,2,9
RLAgent1,6919,100,-2,7,2,9
DAgent1,8634,100,-2,7,2,9
AlternatingAgent2,5712,100,-2,7,2,9
TFTAgent2,3318,100,-3,6,1,7
NN_Agent2,4349,100,-3,6,1,7
DAgent2,5986,100,-3,6,1,7
RandomAgent1,4264,100,-3,6,1,7
HAgent1,2346,100,-3,6,1,7
RLAgent2,5216,100,-3,6,1,7
AlternatingAgent1,3626,100,-3,6,1,7
NN_Agent1,4059,100,-3,6,1,7
TFTAgent1,3070,100,-3,6,1,7
RandomAgent2,4210,100,-3,6,1,7
HAgent2,2598,100,-3,6,1,7
RLAgent1,5123,100,-3,6,1,7
DAgent1,5968,100,-3,6,1,7
AlternatingAgent2,4061,100,-3,6,1,7
TFTAgent2,4278,100,-3,9,2,6
NN_Agent2,6034,100,-3,9,2,6
DAgent2,5412,100,-3,9,2,6
RandomAgent1,5085,100,-3,9,2,6
HAgent1,5016,100,-3,9,2,6
RLAgent2,5688,100,-3,9,2,6
AlternatingAgent1,5094,100,-3,9,2,6
NN_Agent1,5713,100,-3,9,2,6
TFTAgent1,4494,100,-3,9,2,6
HAgent2,4992,100,-3,9,2,6
RandomAgent2,4772,100,-3,9,2,6
RLAgent1,5254,100,-3,9,2,6
DAgent1,5548,100,-3,9,2,6
AlternatingAgent2,4730,100,-3,9,2,6
TFTAgent2,4045,100,-4,7,3,8
NN_Agent2,5376,100,-4,7,3,8
RandomAgent1,5025,100,-4,7,3,8
DAgent2,8175,100,-4,7,3,8
HAgent1,2687,100,-4,7,3,8
RLAgent2,7226,100,-4,7,3,8
AlternatingAgent1,4968,100,-4,7,3,8
NN_Agent1,5523,100,-4,7,3,8
TFTAgent1,3853,100,-4,7,3,8
HAgent2,2830,100,-4,7,3,8
RandomAgent2,5070,100,-4,7,3,8
RLAgent1,7058,100,-4,7,3,8
DAgent1,7405,100,-4,7,3,8
AlternatingAgent2,4983,100,-4,7,3,8
TFTAgent2,3348,100,-5,8,2,6
NN_Agent2,4697,100,-5,8,2,6
DAgent2,6100,100,-5,8,2,6
RandomAgent1,4242,100,-5,8,2,6
HAgent1,2522,100,-5,8,2,6
RLAgent2,5537,100,-5,8,2,6
AlternatingAgent1,4185,100,-5,8,2,6
NN_Agent1,4522,100,-5,8,2,6
TFTAgent1,3388,100,-5,8,2,6
RandomAgent2,3949,100,-5,8,2,6
HAgent2,2977,100,-5,8,2,6
RLAgent1,5417,100,-5,8,2,6
DAgent1,5684,100,-5,8,2,6
AlternatingAgent2,4186,100,-5,8,2,6
